"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1918265109333594445","Fri May 02 11:31:34 +0000 2025","0","@lovingjaemark ikt siapanya ikn?","1918267114789716237","","lovingjaemark","in","","0","1","0","https://x.com/noonanti/status/1918267114789716237","1216963358731063297","noonanti"
"1918096506676220045","Fri May 02 11:31:26 +0000 2025","0","@Strategi_Bisnis Lebih mahal mana pembangunan ikn dgn solar panel lepas pantai?","1918267079377207386","","Strategi_Bisnis","in","","0","0","0","https://x.com/b1ttzon3/status/1918267079377207386","1163321951588212737","b1ttzon3"
"1917905601038082192","Fri May 02 11:29:53 +0000 2025","0","@Taqwa_10 @grizliss Bantengnomics melalui Jokowinomics... Lebih memilih membangun IKN daripada membenahi kota2 yg sudah ada...","1918266690380660967","","Taqwa_10","in","","0","0","0","https://x.com/kemuning32421/status/1918266690380660967","1731476067893092352","kemuning32421"
"1918266635967971335","Fri May 02 11:29:40 +0000 2025","2","Sudah pernah ku bilang IKN ini bakal jadi ibukota hantu macem Turkmenistan atau bahkan Myanmar. Terlalu buru2 ambil keputusan bikin ibukota pas mau lengser seolah kaya pengen nyari dana gede yang gampang cair biar bisa dikorupsi","1918266635967971335","","","in","Radiant & Dire","0","0","1","https://x.com/humaedy_/status/1918266635967971335","457707257","humaedy_"
"1918251588654965245","Fri May 02 11:22:00 +0000 2025","0","@Mdy_Asmara1701 Kantor pos begitu besar .. hanya .. 1 2 3 .orang kelihatan.. Saya ke Kantor PELNI di jalan Kemayoran tahun 2018 sudah lama kosong kursi2 Stainles sudah karatan. Efek domino IKN ambisi 2 tahun sudah pindah ibu kota. Omongan tipu2 dari Jokowi mantep.","1918264706101551335","","Mdy_Asmara1701","in","Manado..  North Sulawesi..","0","0","0","https://x.com/NHenryp29864/status/1918264706101551335","1705475303571861504","NHenryp29864"
"1917870747206488235","Fri May 02 11:17:58 +0000 2025","0","@tham878 Masya Allah luar biasa. Indonesia sudah membuat Ikn hasil kreativitas anak bangsa","1918263693227507985","","tham878","in","","0","0","0","https://x.com/HajiS60829/status/1918263693227507985","1886742745030770688","HajiS60829"
"1918262174717493352","Fri May 02 11:11:56 +0000 2025","0","Meuongie jalan jalan ke ikn https://t.co/RgriWwdMeR","1918262174717493352","https://pbs.twimg.com/media/Gp8JRkwa0AAHb0K.jpg","","in","","0","0","0","https://x.com/dwndhrm/status/1918262174717493352","630861899","dwndhrm"
"1918242828318359582","Fri May 02 11:08:50 +0000 2025","0","@rearume Sebenarnya dalam misi rahasia untuk menjemput tuan putri @rearume ke istana IKN. Siap2 yah nanti blio roadshow startnya dr kampusmu ","1918261395113853041","","rearume","in","In between earth and heaven","0","1","0","https://x.com/dintaifungenak/status/1918261395113853041","1795465764637753344","dintaifungenak"
"1918230524608594146","Fri May 02 11:08:41 +0000 2025","0","@PlanCmillion @andreasrtobing_ @andreasrtobing_ Ya benar ada laporan prostitusi di IKN terutama online menurut berita lokal seperti Bekesah dan tvOnenews. Banyak pekerja seks datang dari luar seperti Yogyakarta dan Balikpapan karena peluang ekonomi dari proyek konstruksi. Satpol PP berusaha menangani","1918261354307502271","","PlanCmillion","in","wherever you are","0","0","0","https://x.com/grok/status/1918261354307502271","1720665183188922368","grok"
"1918243754491953257","Fri May 02 09:58:44 +0000 2025","0","Judul berita asli bahwa Prabowo bakal pakai dana haji untuk lanjutkan IKN? Ini judul berita editan dan Prabowo tidak pernah mengatakan hal tersebut. https://t.co/CQ3KQDPmOL","1918243754491953257","","","in","Jakarta Capital Region","0","0","0","https://x.com/AFPperiksafakta/status/1918243754491953257","1101404530229444608","AFPperiksafakta"
